lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.4.5,Fasta,2500000,10.19325304031372,3.265961684715896e-06,1.3921108606874942e-05
Lua 5.4.5,Fasta,2500000,10.281155109405518,3.235212390521442e-06,1.3790040240069232e-05
Lua 5.4.5,Fasta,2500000,10.268276929855347,2.0969280704137766e-06,8.93812182354927e-06
Lua 5.4.5,Knucleotide,1000000,9.14858603477478,1.4946123279854498e-06,6.370760759512583e-06
Lua 5.4.5,Knucleotide,1000000,9.211813926696777,1.5328928745285244e-06,6.533930967066023e-06
Lua 5.4.5,Knucleotide,1000000,9.1060049533844,1.4690653244279836e-06,6.261867072006067e-06
Lua 5.4.5,Knucleotide,1000000,9.03889799118042,1.4468438026597414e-06,6.167148196584648e-06
Lua 5.4.5,Knucleotide,1000000,9.083433151245117,1.4584544830211386e-06,6.216638532943196e-06
Lua 5.4.5,Knucleotide,1000000,9.032595872879028,1.4296837623740792e-06,6.094003803730011e-06
Lua 5.4.5,Knucleotide,1000000,9.048948049545288,1.4372588178657632e-06,6.126292354663213e-06
Lua 5.4.5,Knucleotide,1000000,9.019983768463135,1.4556099371187363e-06,6.204513702260123e-06
Lua 5.4.5,Knucleotide,1000000,9.054746866226196,1.4452465913987152e-06,6.160340109540356e-06
Lua 5.4.5,Knucleotide,1000000,9.05301284790039,1.446761894046253e-06,6.166799062450728e-06
Lua 5.4.5,Mandelbrot,4000,16.17861032485962,5.142104715347682e-06,2.1918137786269186e-05
Lua 5.4.5,Mandelbrot,4000,16.41274905204773,8.58965941749048e-06,3.661328367890914e-05
Lua 5.4.5,Mandelbrot,4000,16.304084300994873,5.243604668475002e-06,2.2350779687027138e-05
Lua 5.4.5,Mandelbrot,4000,16.185972929000854,5.163373812810438e-06,2.200879696856605e-05
Lua 5.4.5,Mandelbrot,4000,16.19852900505066,5.17147573399189e-06,2.2043331275939944e-05
Lua 5.4.5,Mandelbrot,4000,16.180125951766968,5.158660614641887e-06,2.198870703796546e-05
Lua 5.4.5,Mandelbrot,4000,16.17087411880493,5.161580524907179e-06,2.2001153108020625e-05
Lua 5.4.5,Mandelbrot,4000,16.18416690826416,5.316063616993931e-06,2.2659634777579043e-05
Lua 5.4.5,Mandelbrot,4000,16.176995038986206,5.150250145795514e-06,2.1952857551183963e-05
